estimator,bias,rmse,bias_emp_ci_lower,bias_emp_ci_upper,abs_bias,dgp_number,N,T,fact_label,eps_autocorrelated,avg_diff_in_loading,eta_y,tau_x,beta,true_att,err_label,dgp_label
TECCE,-0.003275360607764603,0.24071832199630921,-0.46289081718313263,0.46823954569362697,0.18111041439302952,1,50,5,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,-2.657927667084718e-4,0.17782424135671132,-0.3395729083407135,0.34677006188588366,0.14270463049862547,1,50,5,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,-0.002951881662896661,0.12678562633611243,-0.27260279092377243,0.24241910027561986,0.10048085141486153,1,50,5,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.0022869223824673454,0.1809963395557726,-0.3450143650736516,0.3794992085070527,0.14409768563986505,1,50,5,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-0.0037265652546449846,0.12867737246677058,-0.2736915025334715,0.25124154142748273,0.10219620015700781,1,50,5,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,-0.0034449365295798036,0.234602182278907,-0.4421163215546735,0.43934404574296115,0.18243550193773517,1,50,5,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,-0.007513521817847713,0.1855401096651092,-0.37355173709954115,0.34469677696168133,0.14917516504037137,1,50,5,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.0038150472286135753,0.1298332529336352,-0.24555961948533045,0.2548426527174954,0.1044639184316365,1,50,5,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.0065023310898954245,0.2124905502778906,-0.39650213440840365,0.4037216235917171,0.17068094272472825,1,50,5,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-0.001844228283198927,0.14034957993024344,-0.2873300852580545,0.2636200319611033,0.1130469303380525,1,50,5,Linear Trend,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,-0.009280431475251134,0.24716075030534293,-0.4843761925804061,0.4351963762591462,0.18203742425118058,1,50,5,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,-5.944312689640362e-4,0.17656662969494252,-0.3472728177827032,0.3433198578888475,0.1401784927442613,1,50,5,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.006896871176399529,0.12419075166315556,-0.23312980000931913,0.25695004292003903,0.09838572615073515,1,50,5,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.004290155295221576,0.18563765108634514,-0.3731565900233109,0.36622725763103303,0.1483161314475497,1,50,5,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,0.00670799877743214,0.1340217322452137,-0.24901174779043778,0.26707191988879847,0.10555713855953874,1,50,5,Autocorrelated,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.015402713907146964,0.5847878759184304,-1.3028083343348762,1.0769934192225654,0.4327900468340014,1,50,5,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.05934028570689366,0.4382774409485583,-0.7667996871385859,0.9272636478896639,0.3484540230428195,1,50,5,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.04193675393596583,0.32357914490167894,-0.5801910682603542,0.68748689099975,0.25734124191990354,1,50,5,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.023828834287147205,0.44863939193720975,-0.8664770869197383,0.9062835461956188,0.3571428256800596,1,50,5,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,0.0036864907718412586,0.3252564940123127,-0.6403870562382423,0.6213180318835088,0.25790750003484963,1,50,5,Constant,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.017929632076422345,0.6577024959378294,-1.2992123941290887,1.1022610529463643,0.47922635428533145,1,50,5,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.03500904493679203,0.46439037608608674,-0.895981991899231,0.9152648022209718,0.37033149228346063,1,50,5,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.020103798164979876,0.3332307309896626,-0.6340535515074379,0.6695627548288302,0.2668742829939668,1,50,5,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,0.01585140202582363,0.4725250607407801,-0.9230696986863592,0.9293069363798265,0.3754082552293172,1,50,5,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,0.0030101809491373008,0.33861489251476773,-0.6807278180790363,0.6677321272111887,0.27162623070331104,1,50,5,Linear Trend,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.006815831824053731,0.83875413385251,-1.6147396182852036,1.5753819612224518,0.6117791908098423,1,50,5,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth,0.005968450293428812,0.5728598897955444,-1.167543032463958,1.0726070756498642,0.4531462022673145,1,50,5,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.02463098370062039,0.42173740866131165,-0.795271529122269,0.8189977068218599,0.3412098453362952,1,50,5,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-0.03386794576289069,1.2232882237433276,-2.345108823712783,2.320788261141721,0.9841848795902187,1,50,5,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TWFE with Control,-0.022526815996629698,0.7014134327151933,-1.414272443013193,1.3747793324983015,0.557585603493683,1,50,5,Autocorrelated,TRUE,0,0,0,1,0,AR(1),"$\kappa = 0$, $\tau_x = 0$"
TECCE,0.001545842398834123,0.21979429171559953,-0.44025282419908107,0.39192786901299137,0.1622854689126352,2,50,5,Constant,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
